Date,Close
3/3/2015 16:00:00,9.28
3/4/2015 16:00:00,9.37
3/5/2015 16:00:00,9.37
3/6/2015 16:00:00,9.25
3/9/2015 16:00:00,9.06
3/10/2015 16:00:00,8.86
3/11/2015 16:00:00,9.12
3/12/2015 16:00:00,9.35
3/13/2015 16:00:00,9.38
3/16/2015 16:00:00,9.3
3/17/2015 16:00:00,9.25
3/18/2015 16:00:00,9.38
3/19/2015 16:00:00,9.18
3/20/2015 16:00:00,9.24
3/23/2015 16:00:00,9.4
3/24/2015 16:00:00,9.42
3/25/2015 16:00:00,9.21
3/26/2015 16:00:00,8.9
3/27/2015 16:00:00,8.6
3/30/2015 16:00:00,9.16
3/31/2015 16:00:00,9.3
4/1/2015 16:00:00,9.2
4/2/2015 16:00:00,9.47
4/6/2015 16:00:00,9.5
4/7/2015 16:00:00,9.52
4/8/2015 16:00:00,9.5
4/9/2015 16:00:00,9.53
4/10/2015 16:00:00,9.59
4/13/2015 16:00:00,9.69
4/14/2015 16:00:00,9.57
4/15/2015 16:00:00,9.65
4/16/2015 16:00:00,9.77
4/17/2015 16:00:00,9.57
4/20/2015 16:00:00,9.47
4/21/2015 16:00:00,9.3
4/22/2015 16:00:00,9.34
4/23/2015 16:00:00,9.06
4/24/2015 16:00:00,9.1
4/27/2015 16:00:00,9.11
4/28/2015 16:00:00,9.19
4/29/2015 16:00:00,9.16
4/30/2015 16:00:00,8.75
5/1/2015 16:00:00,8.75
5/4/2015 16:00:00,8.74
5/5/2015 16:00:00,8.65
5/6/2015 16:00:00,8.51
5/7/2015 16:00:00,8.61
5/8/2015 16:00:00,8.74
5/11/2015 16:00:00,8.95
5/12/2015 16:00:00,9.09
5/13/2015 16:00:00,9.33
5/14/2015 16:00:00,9.48
5/15/2015 16:00:00,9.8
5/18/2015 16:00:00,9.81
5/19/2015 16:00:00,8.99
5/20/2015 16:00:00,9.06
5/21/2015 16:00:00,8.88
5/22/2015 16:00:00,9.07
5/26/2015 16:00:00,9.1
5/27/2015 16:00:00,9
5/28/2015 16:00:00,9.15
5/29/2015 16:00:00,9.02
6/1/2015 16:00:00,8.81
6/2/2015 16:00:00,8.98
6/3/2015 16:00:00,9.24
6/4/2015 16:00:00,9.07
6/5/2015 16:00:00,8.9
6/8/2015 16:00:00,8.88
6/9/2015 16:00:00,8.73
6/10/2015 16:00:00,8.87
6/11/2015 16:00:00,8.94
6/12/2015 16:00:00,8.96
6/15/2015 16:00:00,9.02
6/16/2015 16:00:00,9.01
6/17/2015 16:00:00,8.72
6/18/2015 16:00:00,8.92
6/19/2015 16:00:00,9
6/22/2015 16:00:00,9.38
6/23/2015 16:00:00,9.42
6/24/2015 16:00:00,9.06
6/25/2015 16:00:00,8.62
6/26/2015 16:00:00,8.32
6/29/2015 16:00:00,6.37
6/30/2015 16:00:00,6.01
7/1/2015 16:00:00,5.88
7/2/2015 16:00:00,5.75
7/6/2015 16:00:00,5.58
7/7/2015 16:00:00,5.76
7/8/2015 16:00:00,6.1
7/9/2015 16:00:00,6.09
7/10/2015 16:00:00,6.09
7/13/2015 16:00:00,6.18
7/14/2015 16:00:00,6.17
7/15/2015 16:00:00,6.19
7/16/2015 16:00:00,6.12
7/17/2015 16:00:00,6.09
7/20/2015 16:00:00,5.77
7/21/2015 16:00:00,5.8
7/22/2015 16:00:00,5.83
7/23/2015 16:00:00,6.65
7/24/2015 16:00:00,6.29
7/27/2015 16:00:00,6.21
7/28/2015 16:00:00,6.19
7/29/2015 16:00:00,6.33
7/30/2015 16:00:00,6.15
7/31/2015 16:00:00,5.95
8/3/2015 16:00:00,5.83
8/4/2015 16:00:00,6.11
8/5/2015 16:00:00,5.8
8/6/2015 16:00:00,6.12
8/7/2015 16:00:00,5.98
8/10/2015 16:00:00,6.44
8/11/2015 16:00:00,7.06
8/12/2015 16:00:00,6.73
8/13/2015 16:00:00,6.5
8/14/2015 16:00:00,6.81
8/17/2015 16:00:00,6.84
8/18/2015 16:00:00,6.71
8/19/2015 16:00:00,6.54
8/20/2015 16:00:00,6.47
8/21/2015 16:00:00,6.38
8/24/2015 16:00:00,6.34
8/25/2015 16:00:00,6.39
8/26/2015 16:00:00,6.44
8/27/2015 16:00:00,6.69
8/28/2015 16:00:00,6.72
8/31/2015 16:00:00,7.02
9/1/2015 16:00:00,6.76
9/2/2015 16:00:00,7.68
9/3/2015 16:00:00,7.57
9/4/2015 16:00:00,7.08
9/8/2015 16:00:00,6.97
9/9/2015 16:00:00,6.88
9/10/2015 16:00:00,6.9
9/11/2015 16:00:00,6.94
9/14/2015 16:00:00,6.91
9/15/2015 16:00:00,6.95
9/16/2015 16:00:00,6.96
9/17/2015 16:00:00,6.88
9/18/2015 16:00:00,6.79
9/21/2015 16:00:00,6.69
9/22/2015 16:00:00,6.71
9/23/2015 16:00:00,6.52
9/24/2015 16:00:00,6.47
9/25/2015 16:00:00,6.4
9/28/2015 16:00:00,6.02
9/29/2015 16:00:00,6.02
9/30/2015 16:00:00,6.08
10/1/2015 16:00:00,6.07
10/2/2015 16:00:00,6.18
10/5/2015 16:00:00,6.49
10/6/2015 16:00:00,6.85
10/7/2015 16:00:00,7
10/8/2015 16:00:00,7.28
10/9/2015 16:00:00,7.15
10/12/2015 16:00:00,7.12
10/13/2015 16:00:00,6.99
10/14/2015 16:00:00,7.11
10/15/2015 16:00:00,7.49
10/16/2015 16:00:00,7.52
10/19/2015 16:00:00,7.55
10/20/2015 16:00:00,7.62
10/21/2015 16:00:00,7.37
10/22/2015 16:00:00,7.08
10/23/2015 16:00:00,7.04
10/26/2015 16:00:00,7.05
10/27/2015 16:00:00,6.96
10/28/2015 16:00:00,7.25
10/29/2015 16:00:00,7.58
10/30/2015 16:00:00,7.51
11/2/2015 16:00:00,7.74
11/3/2015 16:00:00,7.95
11/4/2015 16:00:00,7.92
11/5/2015 16:00:00,8.15
11/6/2015 16:00:00,8.28
11/9/2015 16:00:00,7.74
11/10/2015 16:00:00,7.55
11/11/2015 16:00:00,7.24
11/12/2015 16:00:00,6.65
11/13/2015 16:00:00,6.9
11/16/2015 16:00:00,6.97
11/17/2015 16:00:00,7.04
11/18/2015 16:00:00,7.06
11/19/2015 16:00:00,6.91
11/20/2015 16:00:00,6.58
11/23/2015 16:00:00,6.76
11/24/2015 16:00:00,6.78
11/25/2015 16:00:00,6.77
11/27/2015 16:00:00,6.55
11/30/2015 16:00:00,6.57
12/1/2015 16:00:00,6.79
12/2/2015 16:00:00,6.52
12/3/2015 16:00:00,6.27
12/4/2015 16:00:00,6.2
12/7/2015 16:00:00,5.99
12/8/2015 16:00:00,5.9
12/9/2015 16:00:00,5.7
12/10/2015 16:00:00,5.65
12/11/2015 16:00:00,5.52
12/14/2015 16:00:00,5.41
12/15/2015 16:00:00,5.7
12/16/2015 16:00:00,5.6
12/17/2015 16:00:00,5.41
12/18/2015 16:00:00,5.94
12/21/2015 16:00:00,5.92
12/22/2015 16:00:00,5.97
12/23/2015 16:00:00,6.24
12/24/2015 16:00:00,6.75
12/28/2015 16:00:00,6.51
12/29/2015 16:00:00,6.67
12/30/2015 16:00:00,6.47
12/31/2015 16:00:00,6.48
1/4/2016 16:00:00,6.55
1/5/2016 16:00:00,6.73
1/6/2016 16:00:00,6.55
1/7/2016 16:00:00,6.28
1/8/2016 16:00:00,6.29
1/11/2016 16:00:00,6.43
1/12/2016 16:00:00,6.23
1/13/2016 16:00:00,6.03
1/14/2016 16:00:00,6.41
1/15/2016 16:00:00,6.26
1/19/2016 16:00:00,5.92
1/20/2016 16:00:00,6.13
1/21/2016 16:00:00,6.23
1/22/2016 16:00:00,6.3
1/25/2016 16:00:00,5.75
1/26/2016 16:00:00,6.18
1/27/2016 16:00:00,6.47
1/28/2016 16:00:00,6.46
1/29/2016 16:00:00,6.66
2/1/2016 16:00:00,6.67
2/2/2016 16:00:00,6.5
2/3/2016 16:00:00,6.55
2/4/2016 16:00:00,6.68
2/5/2016 16:00:00,6.53
2/8/2016 16:00:00,6.3
2/9/2016 16:00:00,6.33
2/10/2016 16:00:00,6.15
2/11/2016 16:00:00,6.05
2/12/2016 16:00:00,6.43
